RTC End Time Stamp,Zone Name,Zone PTID,RTC Zonal LBMP,RTC Zonal Losses,RTC Zonal Congestion,RTC Zonal Price Version
3/1/2024 2:00,MILLWD,61759,34.99,1.51,0,1
3/1/2024 2:00,N.Y.C.,61761,35.06,1.57,0,1
3/1/2024 2:00,NORTH,61755,34.25,0.77,0,1
3/1/2024 2:00,WEST,61752,30.87,-2.61,0,1
3/1/2024 2:15,CAPITL,61757,34.42,1.16,0,1
3/1/2024 2:15,CENTRL,61754,32.63,-0.63,0,1
3/1/2024 2:15,DUNWOD,61760,34.65,1.4,0,1
3/1/2024 2:15,GENESE,61753,31.3,-1.96,0,1
3/1/2024 2:15,HUD VL,61758,34.59,1.33,0,1
3/1/2024 2:15,LONGIL,61762,34.72,1.46,0,1
3/1/2024 2:15,MHK VL,61756,34.25,1,0,1
3/1/2024 2:15,MILLWD,61759,34.62,1.36,0,1
3/1/2024 2:15,N.Y.C.,61761,34.65,1.4,0,1
3/1/2024 2:15,NORTH,61755,34.05,0.8,0,1
3/1/2024 2:15,WEST,61752,30.93,-2.33,0,1
3/1/2024 2:30,CAPITL,61757,33.43,1.13,0,1
3/1/2024 2:30,CENTRL,61754,31.75,-0.55,0,1
3/1/2024 2:30,DUNWOD,61760,33.66,1.36,0,1
3/1/2024 2:30,GENESE,61753,30.46,-1.84,0,1
3/1/2024 2:30,HUD VL,61758,33.6,1.29,0,1
3/1/2024 2:30,LONGIL,61762,33.82,1.52,0,1
3/1/2024 2:30,MHK VL,61756,33.27,0.97,0,1
3/1/2024 2:30,MILLWD,61759,33.63,1.32,0,1
3/1/2024 2:30,N.Y.C.,61761,33.66,1.36,0,1
3/1/2024 2:30,NORTH,61755,33.08,0.77,0,1
3/1/2024 2:30,WEST,61752,30.14,-2.16,0,1
3/1/2024 2:45,CAPITL,61757,33.3,1.13,0,1
3/1/2024 2:45,CENTRL,61754,31.6,-0.58,0,1
3/1/2024 2:45,DUNWOD,61760,33.59,1.41,0,1
3/1/2024 2:45,GENESE,61753,30.35,-1.83,0,1
3/1/2024 2:45,HUD VL,61758,33.5,1.32,0,1
3/1/2024 2:45,LONGIL,61762,33.79,1.61,0,1
3/1/2024 2:45,MHK VL,61756,33.18,1,0,1
3/1/2024 2:45,MILLWD,61759,33.56,1.38,0,1
3/1/2024 2:45,N.Y.C.,61761,33.59,1.41,0,1
3/1/2024 2:45,NORTH,61755,32.89,0.71,0,1
3/1/2024 2:45,WEST,61752,30.05,-2.12,0,1
3/1/2024 3:00,CAPITL,61757,31.84,1.1,0,1
3/1/2024 3:00,CENTRL,61754,30.15,-0.58,0,1
3/1/2024 3:00,DUNWOD,61760,32.09,1.35,0,1
3/1/2024 3:00,GENESE,61753,29.02,-1.72,0,1
3/1/2024 3:00,HUD VL,61758,32.03,1.29,0,1
3/1/2024 3:00,LONGIL,61762,32.24,1.51,0,1
3/1/2024 3:00,MHK VL,61756,31.6,0.86,0,1
3/1/2024 3:00,MILLWD,61759,32.06,1.32,0,1
3/1/2024 3:00,N.Y.C.,61761,32.09,1.35,0,1
3/1/2024 3:00,NORTH,61755,31.38,0.65,0,1
3/1/2024 3:00,WEST,61752,28.71,-2.03,0,1
3/1/2024 3:15,CAPITL,61757,31.34,1.09,0,1
3/1/2024 3:15,CENTRL,61754,29.7,-0.54,0,1
3/1/2024 3:15,DUNWOD,61760,31.58,1.33,0,1
3/1/2024 3:15,GENESE,61753,28.55,-1.69,0,1
3/1/2024 3:15,HUD VL,61758,31.52,1.27,0,1
