"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"11/24/2024 00:00","CAPITL",61757,32.80,1.11,0.00
"11/24/2024 00:00","CENTRL",61754,31.46,-0.23,0.00
"11/24/2024 00:00","DUNWOD",61760,33.73,2.04,0.00
"11/24/2024 00:00","GENESE",61753,30.59,-1.10,0.00
"11/24/2024 00:00","H Q",61844,31.69,0.00,0.00
"11/24/2024 00:00","HUD VL",61758,33.47,1.77,0.00
"11/24/2024 00:00","LONGIL",61762,34.03,2.34,0.00
"11/24/2024 00:00","MHK VL",61756,25.74,0.06,6.02
"11/24/2024 00:00","MILLWD",61759,33.57,1.88,0.00
"11/24/2024 00:00","N.Y.C.",61761,33.87,2.18,0.00
"11/24/2024 00:00","NORTH",61755,-23.35,-1.67,53.38
"11/24/2024 00:00","NPX",61845,32.91,1.38,0.16
"11/24/2024 00:00","O H",61846,29.68,-2.01,0.00
"11/24/2024 00:00","PJM",61847,31.98,0.29,0.00
"11/24/2024 00:00","WEST",61752,30.26,-1.43,0.00
"11/24/2024 01:00","CAPITL",61757,34.82,1.15,0.00
"11/24/2024 01:00","CENTRL",61754,33.40,-0.27,0.00
"11/24/2024 01:00","DUNWOD",61760,35.73,2.06,0.00
"11/24/2024 01:00","GENESE",61753,32.52,-1.15,0.00
"11/24/2024 01:00","H Q",61844,33.67,0.00,0.00
"11/24/2024 01:00","HUD VL",61758,35.47,1.80,0.00
"11/24/2024 01:00","LONGIL",61762,35.92,2.26,0.00
"11/24/2024 01:00","MHK VL",61756,26.76,0.08,6.98
"11/24/2024 01:00","MILLWD",61759,35.56,1.90,0.00
"11/24/2024 01:00","N.Y.C.",61761,35.89,2.23,0.00
"11/24/2024 01:00","NORTH",61755,-25.89,-1.88,57.68
"11/24/2024 01:00","NPX",61845,35.08,1.42,0.00
"11/24/2024 01:00","O H",61846,31.63,-2.04,0.00
"11/24/2024 01:00","PJM",61847,33.93,0.26,0.00
"11/24/2024 01:00","WEST",61752,32.21,-1.46,0.00
"11/24/2024 02:00","CAPITL",61757,28.57,0.96,-1.61
"11/24/2024 02:00","CENTRL",61754,25.95,-0.28,-0.23
"11/24/2024 02:00","DUNWOD",61760,29.04,1.64,-1.40
"11/24/2024 02:00","GENESE",61753,25.00,-1.18,-0.17
"11/24/2024 02:00","H Q",61844,26.00,0.00,0.00
"11/24/2024 02:00","HUD VL",61758,28.82,1.43,-1.39
"11/24/2024 02:00","LONGIL",61762,29.21,1.81,-1.40
"11/24/2024 02:00","MHK VL",61756,20.79,0.06,5.27
"11/24/2024 02:00","MILLWD",61759,28.92,1.51,-1.40
"11/24/2024 02:00","N.Y.C.",61761,29.17,1.77,-1.40
"11/24/2024 02:00","NORTH",61755,-22.38,-1.50,46.87
"11/24/2024 02:00","NPX",61845,28.67,1.17,-1.50
"11/24/2024 02:00","O H",61846,24.20,-2.00,-0.20
"11/24/2024 02:00","PJM",61847,26.94,0.08,-0.86
"11/24/2024 02:00","WEST",61752,24.67,-1.55,-0.22
"11/24/2024 03:00","CAPITL",61757,26.89,0.74,-7.23
"11/24/2024 03:00","CENTRL",61754,19.72,-0.23,-1.03
"11/24/2024 03:00","DUNWOD",61760,26.41,1.20,-6.29
"11/24/2024 03:00","GENESE",61753,18.84,-0.80,-0.72
"11/24/2024 03:00","H Q",61844,18.93,0.00,0.00
"11/24/2024 03:00","HUD VL",61758,26.21,1.05,-6.22
"11/24/2024 03:00","LONGIL",61762,26.52,1.31,-6.29
"11/24/2024 03:00","MHK VL",61756,15.69,0.05,3.29
"11/24/2024 03:00","MILLWD",61759,26.35,1.12,-6.30
"11/24/2024 03:00","N.Y.C.",61761,26.52,1.30,-6.29
"11/24/2024 03:00","NORTH",61755,-22.50,-1.10,40.33
"11/24/2024 03:00","NPX",61845,26.56,0.91,-6.72
"11/24/2024 03:00","O H",61846,18.41,-1.35,-0.84
"11/24/2024 03:00","PJM",61847,22.85,0.09,-3.83
"11/24/2024 03:00","WEST",61752,18.77,-1.04,-0.88
"11/24/2024 04:00","CAPITL",61757,29.64,0.87,-6.28
"11/24/2024 04:00","CENTRL",61754,23.19,-0.21,-0.91
"11/24/2024 04:00","DUNWOD",61760,29.41,1.46,-5.46
"11/24/2024 04:00","GENESE",61753,22.17,-1.00,-0.68
"11/24/2024 04:00","H Q",61844,22.49,0.00,0.00
"11/24/2024 04:00","HUD VL",61758,29.20,1.30,-5.41
"11/24/2024 04:00","LONGIL",61762,29.58,1.62,-5.47
"11/24/2024 04:00","MHK VL",61756,18.64,0.09,3.94
"11/24/2024 04:00","MILLWD",61759,29.32,1.36,-5.48
"11/24/2024 04:00","N.Y.C.",61761,29.52,1.57,-5.46
"11/24/2024 04:00","NORTH",61755,-22.47,-1.32,43.64
"11/24/2024 04:00","NPX",61845,29.42,1.10,-5.84
"11/24/2024 04:00","O H",61846,21.63,-1.66,-0.81
"11/24/2024 04:00","PJM",61847,26.03,0.17,-3.38
"11/24/2024 04:00","WEST",61752,22.05,-1.30,-0.86
"11/24/2024 05:00","CAPITL",61757,29.45,1.08,-1.24
"11/24/2024 05:00","CENTRL",61754,27.12,-0.20,-0.18
"11/24/2024 05:00","DUNWOD",61760,30.04,1.83,-1.08
"11/24/2024 05:00","GENESE",61753,26.21,-1.06,-0.13
"11/24/2024 05:00","H Q",61844,27.14,0.00,0.00
"11/24/2024 05:00","HUD VL",61758,29.83,1.63,-1.07
"11/24/2024 05:00","LONGIL",61762,30.21,2.00,-1.08
"11/24/2024 05:00","MHK VL",61756,21.80,0.10,5.45
"11/24/2024 05:00","MILLWD",61759,29.93,1.71,-1.08
"11/24/2024 05:00","N.Y.C.",61761,30.17,1.96,-1.08
"11/24/2024 05:00","NORTH",61755,-22.25,-1.87,47.52
"11/24/2024 05:00","NPX",61845,29.74,1.39,-1.21
"11/24/2024 05:00","O H",61846,25.49,-1.81,-0.16
"11/24/2024 05:00","PJM",61847,28.09,0.29,-0.67
