"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"11/28/2024 00:00","CAPITL",61757,48.19,1.98,0.00
"11/28/2024 00:00","CENTRL",61754,45.80,-0.40,0.00
"11/28/2024 00:00","DUNWOD",61760,48.19,1.99,0.00
"11/28/2024 00:00","GENESE",61753,44.44,-1.46,0.30
"11/28/2024 00:00","H Q",61844,46.21,0.00,0.00
"11/28/2024 00:00","HUD VL",61758,48.02,1.81,0.00
"11/28/2024 00:00","LONGIL",61762,48.66,2.45,0.00
"11/28/2024 00:00","MHK VL",61756,47.36,1.16,0.00
"11/28/2024 00:00","MILLWD",61759,48.08,1.87,0.00
"11/28/2024 00:00","N.Y.C.",61761,48.25,2.04,0.00
"11/28/2024 00:00","NORTH",61755,47.81,1.60,0.00
"11/28/2024 00:00","NPX",61845,47.67,1.47,0.00
"11/28/2024 00:00","O H",61846,42.97,-2.56,0.68
"11/28/2024 00:00","PJM",61847,31.56,-0.27,14.38
"11/28/2024 00:00","WEST",61752,44.12,-1.43,0.66
"11/28/2024 01:00","CAPITL",61757,46.54,1.91,0.00
"11/28/2024 01:00","CENTRL",61754,44.21,-0.41,0.00
"11/28/2024 01:00","DUNWOD",61760,46.47,1.85,0.00
"11/28/2024 01:00","GENESE",61753,43.06,-1.56,0.00
"11/28/2024 01:00","H Q",61844,44.63,0.00,0.00
"11/28/2024 01:00","HUD VL",61758,46.30,1.68,0.00
"11/28/2024 01:00","LONGIL",61762,46.80,2.18,0.00
"11/28/2024 01:00","MHK VL",61756,45.68,1.05,0.00
"11/28/2024 01:00","MILLWD",61759,46.35,1.73,0.00
"11/28/2024 01:00","N.Y.C.",61761,46.55,1.92,0.00
"11/28/2024 01:00","NORTH",61755,46.48,1.85,0.00
"11/28/2024 01:00","NPX",61845,46.04,1.41,0.00
"11/28/2024 01:00","O H",61846,41.99,-2.64,0.00
"11/28/2024 01:00","PJM",61847,26.46,-0.34,17.83
"11/28/2024 01:00","WEST",61752,43.06,-1.57,0.00
"11/28/2024 02:00","CAPITL",61757,39.35,1.69,0.00
"11/28/2024 02:00","CENTRL",61754,37.23,-0.44,0.00
"11/28/2024 02:00","DUNWOD",61760,39.23,1.56,0.00
"11/28/2024 02:00","GENESE",61753,36.21,-1.46,0.00
"11/28/2024 02:00","H Q",61844,37.67,0.00,0.00
"11/28/2024 02:00","HUD VL",61758,39.11,1.44,0.00
"11/28/2024 02:00","LONGIL",61762,39.52,1.85,0.00
"11/28/2024 02:00","MHK VL",61756,38.51,0.84,0.00
"11/28/2024 02:00","MILLWD",61759,39.14,1.47,0.00
"11/28/2024 02:00","N.Y.C.",61761,39.31,1.64,0.00
"11/28/2024 02:00","NORTH",61755,39.11,1.45,0.00
"11/28/2024 02:00","NPX",61845,38.94,1.27,0.00
"11/28/2024 02:00","O H",61846,35.27,-2.40,0.00
"11/28/2024 02:00","PJM",61847,23.46,-0.35,13.85
"11/28/2024 02:00","WEST",61752,36.16,-1.51,0.00
"11/28/2024 03:00","CAPITL",61757,38.61,1.65,0.00
"11/28/2024 03:00","CENTRL",61754,36.49,-0.47,0.00
"11/28/2024 03:00","DUNWOD",61760,38.51,1.55,0.00
"11/28/2024 03:00","GENESE",61753,35.55,-1.40,0.00
"11/28/2024 03:00","H Q",61844,36.96,0.00,0.00
"11/28/2024 03:00","HUD VL",61758,38.40,1.44,0.00
"11/28/2024 03:00","LONGIL",61762,38.77,1.81,0.00
"11/28/2024 03:00","MHK VL",61756,37.76,0.80,0.00
"11/28/2024 03:00","MILLWD",61759,38.43,1.47,0.00
"11/28/2024 03:00","N.Y.C.",61761,38.63,1.67,0.00
"11/28/2024 03:00","NORTH",61755,38.51,1.55,0.00
"11/28/2024 03:00","NPX",61845,38.21,1.25,0.00
"11/28/2024 03:00","O H",61846,34.68,-2.27,0.01
"11/28/2024 03:00","PJM",61847,23.91,-0.31,12.73
"11/28/2024 03:00","WEST",61752,35.54,-1.41,0.01
"11/28/2024 04:00","CAPITL",61757,40.82,1.78,0.00
"11/28/2024 04:00","CENTRL",61754,38.57,-0.47,0.00
"11/28/2024 04:00","DUNWOD",61760,40.64,1.60,0.00
"11/28/2024 04:00","GENESE",61753,37.57,-1.46,0.02
"11/28/2024 04:00","H Q",61844,39.04,0.00,0.00
"11/28/2024 04:00","HUD VL",61758,40.52,1.48,0.00
"11/28/2024 04:00","LONGIL",61762,41.03,1.99,0.00
"11/28/2024 04:00","MHK VL",61756,39.87,0.82,0.00
