"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"11/12/2024 00:00","CAPITL",61757,21.43,0.78,0.00
"11/12/2024 00:00","CENTRL",61754,20.32,-0.33,0.00
"11/12/2024 00:00","DUNWOD",61760,21.85,1.19,0.00
"11/12/2024 00:00","GENESE",61753,19.73,-0.93,0.00
"11/12/2024 00:00","H Q",61844,19.12,0.01,1.55
"11/12/2024 00:00","HUD VL",61758,21.68,1.03,0.00
"11/12/2024 00:00","LONGIL",61762,22.16,1.51,0.00
"11/12/2024 00:00","MHK VL",61756,24.72,0.25,-3.81
"11/12/2024 00:00","MILLWD",61759,21.77,1.11,0.00
"11/12/2024 00:00","N.Y.C.",61761,21.94,1.29,0.00
"11/12/2024 00:00","NORTH",61755,14.67,0.03,6.02
"11/12/2024 00:00","NPX",61845,21.34,0.69,0.00
"11/12/2024 00:00","O H",61846,19.21,-1.45,0.00
"11/12/2024 00:00","PJM",61847,20.71,0.05,0.00
"11/12/2024 00:00","WEST",61752,19.63,-1.03,0.00
"11/12/2024 01:00","CAPITL",61757,20.76,0.69,0.00
"11/12/2024 01:00","CENTRL",61754,19.76,-0.31,0.00
"11/12/2024 01:00","DUNWOD",61760,21.14,1.07,0.00
"11/12/2024 01:00","GENESE",61753,19.26,-0.81,0.00
"11/12/2024 01:00","H Q",61844,18.44,0.03,1.66
"11/12/2024 01:00","HUD VL",61758,21.00,0.92,0.00
"11/12/2024 01:00","LONGIL",61762,21.49,1.42,0.00
"11/12/2024 01:00","MHK VL",61756,24.33,0.21,-4.04
"11/12/2024 01:00","MILLWD",61759,21.07,1.00,0.00
"11/12/2024 01:00","N.Y.C.",61761,21.25,1.18,0.00
"11/12/2024 01:00","NORTH",61755,13.93,0.06,6.20
"11/12/2024 01:00","NPX",61845,20.62,0.55,0.00
"11/12/2024 01:00","O H",61846,18.84,-1.23,0.00
"11/12/2024 01:00","PJM",61847,20.11,0.03,0.00
"11/12/2024 01:00","WEST",61752,19.22,-0.85,0.00
"11/12/2024 02:00","CAPITL",61757,20.00,0.69,0.00
"11/12/2024 02:00","CENTRL",61754,19.00,-0.32,0.00
"11/12/2024 02:00","DUNWOD",61760,20.29,0.97,0.00
"11/12/2024 02:00","GENESE",61753,18.47,-0.85,0.00
"11/12/2024 02:00","H Q",61844,18.10,0.01,1.22
"11/12/2024 02:00","HUD VL",61758,20.17,0.86,0.00
"11/12/2024 02:00","LONGIL",61762,20.55,1.24,0.00
"11/12/2024 02:00","MHK VL",61756,22.57,0.24,-3.02
"11/12/2024 02:00","MILLWD",61759,20.23,0.92,0.00
"11/12/2024 02:00","N.Y.C.",61761,20.37,1.06,0.00
"11/12/2024 02:00","NORTH",61755,14.65,0.03,4.69
"11/12/2024 02:00","NPX",61845,19.89,0.58,0.00
