"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"03/02/2025 00:00","CAPITL",61757,52.06,2.47,0.00
"03/02/2025 00:00","CENTRL",61754,48.80,-0.79,0.00
"03/02/2025 00:00","DUNWOD",61760,51.45,1.86,0.00
"03/02/2025 00:00","GENESE",61753,47.40,-2.19,0.00
"03/02/2025 00:00","H Q",61844,50.23,0.64,0.00
"03/02/2025 00:00","HUD VL",61758,51.31,1.72,0.00
"03/02/2025 00:00","LONGIL",61762,51.86,2.27,0.00
"03/02/2025 00:00","MHK VL",61756,50.98,1.38,0.00
"03/02/2025 00:00","MILLWD",61759,51.37,1.78,0.00
"03/02/2025 00:00","N.Y.C.",61761,52.81,1.88,-1.34
"03/02/2025 00:00","NORTH",61755,49.76,1.02,0.85
"03/02/2025 00:00","NPX",61845,49.51,1.44,1.53
"03/02/2025 00:00","O H",61846,45.63,-3.96,0.00
"03/02/2025 00:00","PJM",61847,46.47,-0.80,2.32
"03/02/2025 00:00","WEST",61752,46.95,-2.64,0.00
"03/02/2025 01:00","CAPITL",61757,44.40,2.01,0.00
"03/02/2025 01:00","CENTRL",61754,41.76,-0.63,0.00
"03/02/2025 01:00","DUNWOD",61760,43.89,1.50,0.00
"03/02/2025 01:00","GENESE",61753,40.55,-1.84,0.00
"03/02/2025 01:00","H Q",61844,42.99,0.59,0.00
"03/02/2025 01:00","HUD VL",61758,43.80,1.41,0.00
"03/02/2025 01:00","LONGIL",61762,44.35,1.96,0.00
"03/02/2025 01:00","MHK VL",61756,43.65,1.26,0.00
"03/02/2025 01:00","MILLWD",61759,43.84,1.45,0.00
"03/02/2025 01:00","N.Y.C.",61761,46.35,1.53,-2.43
"03/02/2025 01:00","NORTH",61755,43.42,1.03,0.00
"03/02/2025 01:00","NPX",61845,43.49,1.10,0.00
"03/02/2025 01:00","O H",61846,39.10,-3.29,0.00
"03/02/2025 01:00","PJM",61847,41.24,-0.61,0.54
"03/02/2025 01:00","WEST",61752,40.25,-2.14,0.00
"03/02/2025 02:00","CAPITL",61757,37.06,1.65,0.00
"03/02/2025 02:00","CENTRL",61754,34.81,-0.60,0.00
"03/02/2025 02:00","DUNWOD",61760,36.53,1.12,0.00
"03/02/2025 02:00","GENESE",61753,33.72,-1.69,0.00
"03/02/2025 02:00","H Q",61844,35.87,0.46,0.00
"03/02/2025 02:00","HUD VL",61758,36.48,1.07,0.00
"03/02/2025 02:00","LONGIL",61762,36.93,1.52,0.00
"03/02/2025 02:00","MHK VL",61756,36.44,1.03,0.00
"03/02/2025 02:00","MILLWD",61759,36.49,1.08,0.00
"03/02/2025 02:00","N.Y.C.",61761,39.86,1.12,-3.32
"03/02/2025 02:00","NORTH",61755,36.24,0.83,0.00
"03/02/2025 02:00","NPX",61845,36.27,0.86,0.00
"03/02/2025 02:00","O H",61846,32.35,-3.06,0.00
"03/02/2025 02:00","PJM",61847,34.62,-0.71,0.08
"03/02/2025 02:00","WEST",61752,33.29,-2.12,0.00
"03/02/2025 03:00","CAPITL",61757,37.74,1.63,0.00
"03/02/2025 03:00","CENTRL",61754,35.55,-0.56,0.00
"03/02/2025 03:00","DUNWOD",61760,37.17,1.06,0.00
"03/02/2025 03:00","GENESE",61753,34.54,-1.57,0.00
"03/02/2025 03:00","H Q",61844,36.62,0.51,0.00
"03/02/2025 03:00","HUD VL",61758,37.14,1.03,0.00
"03/02/2025 03:00","LONGIL",61762,37.54,1.43,0.00
"03/02/2025 03:00","MHK VL",61756,37.24,1.13,0.00
"03/02/2025 03:00","MILLWD",61759,37.14,1.03,0.00
"03/02/2025 03:00","N.Y.C.",61761,40.40,1.07,-3.22
"03/02/2025 03:00","NORTH",61755,37.05,0.94,0.00
"03/02/2025 03:00","NPX",61845,36.91,0.80,0.00
"03/02/2025 03:00","O H",61846,33.27,-2.84,0.00
"03/02/2025 03:00","PJM",61847,35.34,-0.69,0.08
"03/02/2025 03:00","WEST",61752,34.23,-1.88,0.00
"03/02/2025 04:00","CAPITL",61757,39.36,1.69,0.00
"03/02/2025 04:00","CENTRL",61754,37.10,-0.57,0.00
"03/02/2025 04:00","DUNWOD",61760,38.71,1.04,0.00
"03/02/2025 04:00","GENESE",61753,36.05,-1.61,0.00
"03/02/2025 04:00","H Q",61844,38.26,0.59,0.00
"03/02/2025 04:00","HUD VL",61758,38.70,1.03,0.00
"03/02/2025 04:00","LONGIL",61762,39.09,1.43,0.00
"03/02/2025 04:00","MHK VL",61756,38.88,1.22,0.00
"03/02/2025 04:00","MILLWD",61759,38.71,1.04,0.00
"03/02/2025 04:00","N.Y.C.",61761,41.76,1.03,-3.07
"03/02/2025 04:00","NORTH",61755,38.79,1.13,0.00
"03/02/2025 04:00","NPX",61845,38.48,0.82,0.00
"03/02/2025 04:00","O H",61846,34.74,-2.93,0.00
"03/02/2025 04:00","PJM",61847,36.75,-0.76,0.15
"03/02/2025 04:00","WEST",61752,35.74,-1.92,0.00
"03/02/2025 05:00","CAPITL",61757,49.11,2.21,0.00
