"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/16/2025 00:00","CAPITL",61757,133.35,3.65,-69.90
"01/16/2025 00:00","CENTRL",61754,68.77,-0.63,-9.60
"01/16/2025 00:00","DUNWOD",61760,119.66,5.09,-54.78
"01/16/2025 00:00","GENESE",61753,64.93,-2.04,-7.18
"01/16/2025 00:00","H Q",61844,58.64,-1.15,0.00
"01/16/2025 00:00","HUD VL",61758,118.02,4.66,-53.56
"01/16/2025 00:00","LONGIL",61762,120.88,6.27,-54.82
"01/16/2025 00:00","MHK VL",61756,75.05,2.47,-12.78
"01/16/2025 00:00","MILLWD",61759,119.78,4.93,-55.05
"01/16/2025 00:00","N.Y.C.",61761,122.18,5.34,-57.04
"01/16/2025 00:00","NORTH",61755,58.92,-0.87,0.00
"01/16/2025 00:00","NPX",61845,117.23,3.90,-53.54
"01/16/2025 00:00","O H",61846,63.76,-4.57,-8.54
"01/16/2025 00:00","PJM",61847,41.08,0.26,18.97
"01/16/2025 00:00","WEST",61752,64.88,-4.04,-9.13
"01/16/2025 01:00","CAPITL",61757,117.63,4.96,-31.94
"01/16/2025 01:00","CENTRL",61754,84.19,-0.92,-4.37
"01/16/2025 01:00","DUNWOD",61760,112.31,6.55,-25.02
"01/16/2025 01:00","GENESE",61753,81.13,-2.95,-3.34
"01/16/2025 01:00","H Q",61844,79.35,-1.39,0.00
"01/16/2025 01:00","HUD VL",61758,111.24,6.04,-24.47
"01/16/2025 01:00","LONGIL",61762,113.95,8.18,-25.04
"01/16/2025 01:00","MHK VL",61756,90.01,3.41,-5.87
"01/16/2025 01:00","MILLWD",61759,112.28,6.39,-25.15
"01/16/2025 01:00","N.Y.C.",61761,117.03,6.84,-29.46
"01/16/2025 01:00","NORTH",61755,79.95,-0.79,0.00
"01/16/2025 01:00","NPX",61845,114.57,5.24,-28.59
"01/16/2025 01:00","O H",61846,78.41,-6.31,-3.99
"01/16/2025 01:00","PJM",61847,67.10,0.21,13.85
"01/16/2025 01:00","WEST",61752,79.45,-5.56,-4.27
"01/16/2025 02:00","CAPITL",61757,116.17,3.85,-50.05
"01/16/2025 02:00","CENTRL",61754,68.52,-0.63,-6.88
"01/16/2025 02:00","DUNWOD",61760,106.48,4.98,-39.22
"01/16/2025 02:00","GENESE",61753,65.35,-2.16,-5.24
"01/16/2025 02:00","H Q",61844,61.22,-1.06,0.00
"01/16/2025 02:00","HUD VL",61758,105.28,4.65,-38.36
"01/16/2025 02:00","LONGIL",61762,107.67,6.14,-39.25
