"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/13/2025 00:00","CAPITL",61757,68.48,2.84,0.00
"01/13/2025 00:00","CENTRL",61754,64.01,-1.63,0.00
"01/13/2025 00:00","DUNWOD",61760,69.26,3.63,0.00
"01/13/2025 00:00","GENESE",61753,61.91,-3.73,0.00
"01/13/2025 00:00","H Q",61844,66.22,0.58,0.00
"01/13/2025 00:00","HUD VL",61758,69.11,3.47,0.00
"01/13/2025 00:00","LONGIL",61762,76.02,5.30,-5.08
"01/13/2025 00:00","MHK VL",61756,67.51,1.88,0.00
"01/13/2025 00:00","MILLWD",61759,69.15,3.51,0.00
"01/13/2025 00:00","N.Y.C.",61761,70.07,3.84,-0.60
"01/13/2025 00:00","NORTH",61755,67.25,1.62,0.00
"01/13/2025 00:00","NPX",61845,75.75,3.02,-7.09
"01/13/2025 00:00","O H",61846,58.92,-6.72,0.00
"01/13/2025 00:00","PJM",61847,41.00,-0.99,23.64
"01/13/2025 00:00","WEST",61752,60.29,-5.35,0.00
"01/13/2025 01:00","CAPITL",61757,75.75,3.11,0.00
"01/13/2025 01:00","CENTRL",61754,70.95,-1.69,0.00
"01/13/2025 01:00","DUNWOD",61760,76.16,3.52,0.00
"01/13/2025 01:00","GENESE",61753,68.74,-3.90,0.00
"01/13/2025 01:00","H Q",61844,73.36,0.73,0.00
"01/13/2025 01:00","HUD VL",61758,76.06,3.42,0.00
"01/13/2025 01:00","LONGIL",61762,77.94,5.28,-0.02
"01/13/2025 01:00","MHK VL",61756,74.61,1.97,0.00
"01/13/2025 01:00","MILLWD",61759,76.03,3.39,0.00
"01/13/2025 01:00","N.Y.C.",61761,76.30,3.66,0.00
"01/13/2025 01:00","NORTH",61755,74.49,1.85,0.00
"01/13/2025 01:00","NPX",61845,77.51,3.13,-1.74
"01/13/2025 01:00","O H",61846,65.63,-7.00,0.00
"01/13/2025 01:00","PJM",61847,38.43,-1.27,32.94
