"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/30/2024 00:00","CAPITL",61757,18.39,0.60,0.00
"05/30/2024 00:00","CENTRL",61754,18.17,0.08,-0.30
"05/30/2024 00:00","DUNWOD",61760,18.61,0.81,0.00
"05/30/2024 00:00","GENESE",61753,17.15,-0.10,0.54
"05/30/2024 00:00","H Q",61844,17.80,0.00,0.00
"05/30/2024 00:00","HUD VL",61758,18.43,0.63,0.00
"05/30/2024 00:00","LONGIL",61762,20.49,1.25,-1.44
"05/30/2024 00:00","MHK VL",61756,17.98,0.18,0.00
"05/30/2024 00:00","MILLWD",61759,18.50,0.70,0.00
"05/30/2024 00:00","N.Y.C.",61761,18.63,0.84,0.00
"05/30/2024 00:00","NORTH",61755,17.00,-0.80,0.00
"05/30/2024 00:00","NPX",61845,18.29,0.49,0.00
"05/30/2024 00:00","O H",61846,16.15,-0.28,1.36
"05/30/2024 00:00","PJM",61847,16.61,0.27,1.45
"05/30/2024 00:00","WEST",61752,16.59,0.05,1.27
"05/30/2024 01:00","CAPITL",61757,17.42,0.59,0.00
"05/30/2024 01:00","CENTRL",61754,17.18,0.02,-0.32
"05/30/2024 01:00","DUNWOD",61760,17.56,0.72,0.00
"05/30/2024 01:00","GENESE",61753,16.12,-0.14,0.57
"05/30/2024 01:00","H Q",61844,16.84,0.00,0.00
"05/30/2024 01:00","HUD VL",61758,17.41,0.57,0.00
"05/30/2024 01:00","LONGIL",61762,17.86,1.03,0.00
"05/30/2024 01:00","MHK VL",61756,17.02,0.19,0.00
"05/30/2024 01:00","MILLWD",61759,17.46,0.63,0.00
"05/30/2024 01:00","N.Y.C.",61761,17.60,0.77,0.00
"05/30/2024 01:00","NORTH",61755,16.08,-0.76,0.00
"05/30/2024 01:00","NPX",61845,17.32,0.48,0.00
"05/30/2024 01:00","O H",61846,15.09,-0.30,1.44
"05/30/2024 01:00","PJM",61847,15.51,0.21,1.54
"05/30/2024 01:00","WEST",61752,15.50,0.00,1.35
"05/30/2024 02:00","CAPITL",61757,17.57,0.59,0.00
"05/30/2024 02:00","CENTRL",61754,17.14,0.02,-0.14
"05/30/2024 02:00","DUNWOD",61760,17.69,0.70,0.00
"05/30/2024 02:00","GENESE",61753,16.55,-0.18,0.25
"05/30/2024 02:00","H Q",61844,16.99,0.00,0.00
"05/30/2024 02:00","HUD VL",61758,17.54,0.55,0.00
"05/30/2024 02:00","LONGIL",61762,17.93,0.95,0.00
"05/30/2024 02:00","MHK VL",61756,17.20,0.21,0.00
"05/30/2024 02:00","MILLWD",61759,17.60,0.61,0.00
"05/30/2024 02:00","N.Y.C.",61761,17.72,0.74,0.00
"05/30/2024 02:00","NORTH",61755,16.28,-0.70,0.00
"05/30/2024 02:00","NPX",61845,17.48,0.49,0.00
"05/30/2024 02:00","O H",61846,16.01,-0.36,0.62
"05/30/2024 02:00","PJM",61847,16.51,0.18,0.66
"05/30/2024 02:00","WEST",61752,16.37,-0.04,0.58
"05/30/2024 03:00","CAPITL",61757,16.90,0.55,0.00
"05/30/2024 03:00","CENTRL",61754,16.49,0.02,-0.12
"05/30/2024 03:00","DUNWOD",61760,17.01,0.66,0.00
"05/30/2024 03:00","GENESE",61753,15.95,-0.19,0.22
"05/30/2024 03:00","H Q",61844,16.35,0.00,0.00
"05/30/2024 03:00","HUD VL",61758,16.88,0.52,0.00
"05/30/2024 03:00","LONGIL",61762,17.21,0.86,0.00
"05/30/2024 03:00","MHK VL",61756,16.55,0.19,0.00
"05/30/2024 03:00","MILLWD",61759,16.92,0.57,0.00
"05/30/2024 03:00","N.Y.C.",61761,17.04,0.69,0.00
"05/30/2024 03:00","NORTH",61755,15.61,-0.74,0.00
"05/30/2024 03:00","NPX",61845,16.80,0.45,0.00
"05/30/2024 03:00","O H",61846,15.44,-0.36,0.55
"05/30/2024 03:00","PJM",61847,15.93,0.16,0.58
"05/30/2024 03:00","WEST",61752,15.78,-0.07,0.51
"05/30/2024 04:00","CAPITL",61757,17.23,0.55,0.00
"05/30/2024 04:00","CENTRL",61754,16.90,0.06,-0.16
"05/30/2024 04:00","DUNWOD",61760,17.35,0.67,0.00
"05/30/2024 04:00","GENESE",61753,16.25,-0.13,0.29
"05/30/2024 04:00","H Q",61844,16.68,0.00,0.00
"05/30/2024 04:00","HUD VL",61758,17.21,0.53,0.00
"05/30/2024 04:00","LONGIL",61762,17.62,0.94,0.00
"05/30/2024 04:00","MHK VL",61756,16.89,0.21,0.00
"05/30/2024 04:00","MILLWD",61759,17.26,0.58,0.00
