"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/05/2024 00:00","CAPITL",61757,16.38,0.64,0.00
"05/05/2024 00:00","CENTRL",61754,15.62,-0.13,0.00
"05/05/2024 00:00","DUNWOD",61760,16.76,1.02,0.00
"05/05/2024 00:00","GENESE",61753,15.30,-0.45,0.00
"05/05/2024 00:00","H Q",61844,15.68,-0.07,0.00
"05/05/2024 00:00","HUD VL",61758,16.67,0.92,0.00
"05/05/2024 00:00","LONGIL",61762,17.00,1.25,0.00
"05/05/2024 00:00","MHK VL",61756,15.92,0.17,0.00
"05/05/2024 00:00","MILLWD",61759,16.71,0.97,0.00
"05/05/2024 00:00","N.Y.C.",61761,16.80,1.06,0.00
"05/05/2024 00:00","NORTH",61755,15.72,-0.03,0.00
"05/05/2024 00:00","NPX",61845,16.86,0.81,-0.30
"05/05/2024 00:00","O H",61846,15.04,-0.70,0.00
"05/05/2024 00:00","PJM",61847,15.99,0.25,0.00
"05/05/2024 00:00","WEST",61752,15.25,-0.49,0.00
"05/05/2024 01:00","CAPITL",61757,18.17,0.69,0.00
"05/05/2024 01:00","CENTRL",61754,17.33,-0.14,0.00
"05/05/2024 01:00","DUNWOD",61760,18.56,1.09,0.00
"05/05/2024 01:00","GENESE",61753,16.98,-0.49,0.00
"05/05/2024 01:00","H Q",61844,17.39,-0.08,0.00
"05/05/2024 01:00","HUD VL",61758,18.47,1.00,0.00
"05/05/2024 01:00","LONGIL",61762,18.78,1.31,0.00
"05/05/2024 01:00","MHK VL",61756,17.62,0.15,0.00
"05/05/2024 01:00","MILLWD",61759,18.51,1.04,0.00
"05/05/2024 01:00","N.Y.C.",61761,18.61,1.14,0.00
"05/05/2024 01:00","NORTH",61755,17.39,-0.08,0.00
"05/05/2024 01:00","NPX",61845,18.63,0.90,-0.25
"05/05/2024 01:00","O H",61846,16.74,-0.74,0.00
"05/05/2024 01:00","PJM",61847,17.75,0.28,0.00
"05/05/2024 01:00","WEST",61752,16.96,-0.52,0.00
"05/05/2024 02:00","CAPITL",61757,9.68,0.37,0.00
"05/05/2024 02:00","CENTRL",61754,9.23,-0.08,0.00
"05/05/2024 02:00","DUNWOD",61760,9.88,0.58,0.00
"05/05/2024 02:00","GENESE",61753,9.05,-0.26,0.00
"05/05/2024 02:00","H Q",61844,9.26,-0.05,0.00
"05/05/2024 02:00","HUD VL",61758,9.84,0.53,0.00
"05/05/2024 02:00","LONGIL",61762,10.00,0.69,0.00
"05/05/2024 02:00","MHK VL",61756,9.38,0.07,0.00
"05/05/2024 02:00","MILLWD",61759,9.86,0.55,0.00
"05/05/2024 02:00","N.Y.C.",61761,9.91,0.60,0.00
"05/05/2024 02:00","NORTH",61755,9.24,-0.07,0.00
"05/05/2024 02:00","NPX",61845,13.64,0.49,-3.85
"05/05/2024 02:00","O H",61846,8.92,-0.38,0.00
"05/05/2024 02:00","PJM",61847,9.46,0.15,0.00
"05/05/2024 02:00","WEST",61752,9.04,-0.27,0.00
"05/05/2024 03:00","CAPITL",61757,15.66,0.59,0.00
"05/05/2024 03:00","CENTRL",61754,14.96,-0.11,0.00
