"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/12/2024 00:00","CAPITL",61757,24.42,0.90,0.00
"05/12/2024 00:00","CENTRL",61754,23.57,0.05,0.00
"05/12/2024 00:00","DUNWOD",61760,24.87,1.34,0.00
"05/12/2024 00:00","GENESE",61753,23.03,-0.49,0.00
"05/12/2024 00:00","H Q",61844,22.89,-0.13,0.51
"05/12/2024 00:00","HUD VL",61758,24.78,1.25,0.00
"05/12/2024 00:00","LONGIL",61762,25.27,1.73,-0.02
"05/12/2024 00:00","MHK VL",61756,24.14,0.61,0.00
"05/12/2024 00:00","MILLWD",61759,24.80,1.27,0.00
"05/12/2024 00:00","N.Y.C.",61761,24.99,1.47,0.00
"05/12/2024 00:00","NORTH",61755,23.62,0.09,0.00
"05/12/2024 00:00","NPX",61845,23.90,0.88,0.51
"05/12/2024 00:00","O H",61846,22.72,-0.81,0.00
"05/12/2024 00:00","PJM",61847,23.47,0.45,0.51
"05/12/2024 00:00","WEST",61752,23.24,-0.28,0.00
"05/12/2024 01:00","CAPITL",61757,28.67,0.81,0.00
"05/12/2024 01:00","CENTRL",61754,27.71,-0.16,0.00
"05/12/2024 01:00","DUNWOD",61760,29.01,1.14,0.00
"05/12/2024 01:00","GENESE",61753,27.06,-0.80,0.00
"05/12/2024 01:00","H Q",61844,28.00,0.13,0.00
"05/12/2024 01:00","HUD VL",61758,28.92,1.05,0.00
"05/12/2024 01:00","LONGIL",61762,29.38,1.51,-0.01
"05/12/2024 01:00","MHK VL",61756,28.49,0.62,0.00
"05/12/2024 01:00","MILLWD",61759,28.93,1.07,0.00
"05/12/2024 01:00","N.Y.C.",61761,29.13,1.26,0.00
"05/12/2024 01:00","NORTH",61755,28.30,0.43,0.00
"05/12/2024 01:00","NPX",61845,28.54,0.67,0.00
"05/12/2024 01:00","O H",61846,26.66,-1.21,0.00
"05/12/2024 01:00","PJM",61847,28.00,0.14,0.00
"05/12/2024 01:00","WEST",61752,27.25,-0.62,0.00
"05/12/2024 02:00","CAPITL",61757,27.91,0.76,0.00
"05/12/2024 02:00","CENTRL",61754,26.95,-0.20,0.00
"05/12/2024 02:00","DUNWOD",61760,28.24,1.09,0.00
"05/12/2024 02:00","GENESE",61753,26.30,-0.86,0.00
"05/12/2024 02:00","H Q",61844,27.28,0.12,0.00
"05/12/2024 02:00","HUD VL",61758,28.17,1.02,0.00
"05/12/2024 02:00","LONGIL",61762,28.56,1.41,0.00
"05/12/2024 02:00","MHK VL",61756,27.72,0.57,0.00
"05/12/2024 02:00","MILLWD",61759,28.17,1.02,0.00
"05/12/2024 02:00","N.Y.C.",61761,28.38,1.23,0.00
"05/12/2024 02:00","NORTH",61755,27.56,0.41,0.00
"05/12/2024 02:00","NPX",61845,27.83,0.67,0.00
"05/12/2024 02:00","O H",61846,25.89,-1.26,0.00
"05/12/2024 02:00","PJM",61847,27.27,0.12,0.00
"05/12/2024 02:00","WEST",61752,26.50,-0.65,0.00
"05/12/2024 03:00","CAPITL",61757,27.30,0.75,0.00
"05/12/2024 03:00","CENTRL",61754,26.34,-0.20,0.00
"05/12/2024 03:00","DUNWOD",61760,27.56,1.02,0.00
"05/12/2024 03:00","GENESE",61753,25.61,-0.93,0.00
"05/12/2024 03:00","H Q",61844,26.67,0.13,0.00
"05/12/2024 03:00","HUD VL",61758,27.50,0.96,0.00
"05/12/2024 03:00","LONGIL",61762,27.89,1.35,0.00
"05/12/2024 03:00","MHK VL",61756,27.07,0.52,0.00
"05/12/2024 03:00","MILLWD",61759,27.51,0.96,0.00
"05/12/2024 03:00","N.Y.C.",61761,27.70,1.16,0.00
"05/12/2024 03:00","NORTH",61755,26.95,0.41,0.00
"05/12/2024 03:00","NPX",61845,27.18,0.64,0.00
"05/12/2024 03:00","O H",61846,25.17,-1.37,0.00
"05/12/2024 03:00","PJM",61847,26.60,0.06,0.00
"05/12/2024 03:00","WEST",61752,25.79,-0.75,0.00
"05/12/2024 04:00","CAPITL",61757,27.58,0.80,0.00
"05/12/2024 04:00","CENTRL",61754,26.56,-0.21,0.00
"05/12/2024 04:00","DUNWOD",61760,27.75,0.97,0.00
"05/12/2024 04:00","GENESE",61753,25.82,-0.95,0.00
"05/12/2024 04:00","H Q",61844,26.91,0.13,0.00
