"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"02/11/2025 00:00","CAPITL",61757,459.66,3.95,-395.58
"02/11/2025 00:00","CENTRL",61754,58.79,-1.33,0.00
"02/11/2025 00:00","DUNWOD",61760,111.04,4.01,-46.91
"02/11/2025 00:00","GENESE",61753,56.55,-3.57,0.00
"02/11/2025 00:00","H Q",61844,59.59,-0.53,0.00
"02/11/2025 00:00","HUD VL",61758,113.17,3.44,-49.61
"02/11/2025 00:00","LONGIL",61762,112.25,5.16,-46.97
"02/11/2025 00:00","MHK VL",61756,88.92,2.40,-26.40
"02/11/2025 00:00","MILLWD",61759,111.60,3.96,-47.52
"02/11/2025 00:00","N.Y.C.",61761,130.60,4.26,-66.22
"02/11/2025 00:00","NORTH",61755,60.77,0.65,0.00
"02/11/2025 00:00","NPX",61845,192.12,3.53,-128.47
"02/11/2025 00:00","O H",61846,54.16,-5.96,0.00
"02/11/2025 00:00","PJM",61847,24.12,-0.52,35.47
"02/11/2025 00:00","WEST",61752,55.50,-4.62,0.00
"02/11/2025 01:00","CAPITL",61757,261.17,3.47,-204.58
"02/11/2025 01:00","CENTRL",61754,51.98,-1.15,0.00
"02/11/2025 01:00","DUNWOD",61760,81.01,3.55,-24.33
"02/11/2025 01:00","GENESE",61753,50.24,-2.89,0.00
"02/11/2025 01:00","H Q",61844,52.69,-0.44,0.00
"02/11/2025 01:00","HUD VL",61758,82.62,3.07,-26.42
"02/11/2025 01:00","LONGIL",61762,82.18,4.68,-24.36
"02/11/2025 01:00","MHK VL",61756,68.63,1.84,-13.67
"02/11/2025 01:00","MILLWD",61759,81.29,3.52,-24.64
"02/11/2025 01:00","N.Y.C.",61761,102.12,3.82,-45.17
"02/11/2025 01:00","NORTH",61755,53.76,0.63,0.00
"02/11/2025 01:00","NPX",61845,122.90,3.14,-66.63
"02/11/2025 01:00","O H",61846,48.35,-4.78,0.00
"02/11/2025 01:00","PJM",61847,45.16,-0.43,7.55
"02/11/2025 01:00","WEST",61752,49.49,-3.64,0.00
"02/11/2025 02:00","CAPITL",61757,254.06,4.11,-188.56
"02/11/2025 02:00","CENTRL",61754,60.18,-1.27,-0.07
"02/11/2025 02:00","DUNWOD",61760,92.28,4.15,-26.75
"02/11/2025 02:00","GENESE",61753,58.08,-3.36,-0.06
"02/11/2025 02:00","H Q",61844,60.83,-0.54,0.00
"02/11/2025 02:00","HUD VL",61758,87.27,3.58,-22.31
"02/11/2025 02:00","LONGIL",61762,120.63,5.63,-53.62
"02/11/2025 02:00","MHK VL",61756,75.06,2.08,-11.61
"02/11/2025 02:00","MILLWD",61759,91.69,4.11,-26.21
"02/11/2025 02:00","N.Y.C.",61761,109.03,4.41,-43.24
"02/11/2025 02:00","NORTH",61755,62.02,0.64,0.00
"02/11/2025 02:00","NPX",61845,131.80,3.69,-66.73
"02/11/2025 02:00","O H",61846,55.92,-5.53,-0.07
"02/11/2025 02:00","PJM",61847,52.57,-0.47,8.34
"02/11/2025 02:00","WEST",61752,57.26,-4.20,-0.07
"02/11/2025 03:00","CAPITL",61757,252.77,3.48,-197.07
"02/11/2025 03:00","CENTRL",61754,51.79,-0.95,-0.53
"02/11/2025 03:00","DUNWOD",61760,81.67,3.57,-25.89
"02/11/2025 03:00","GENESE",61753,49.88,-2.76,-0.43
"02/11/2025 03:00","H Q",61844,51.67,-0.54,0.00
"02/11/2025 03:00","HUD VL",61758,83.19,3.09,-27.89
"02/11/2025 03:00","LONGIL",61762,83.00,4.86,-25.93
"02/11/2025 03:00","MHK VL",61756,67.67,1.98,-13.48
"02/11/2025 03:00","MILLWD",61759,81.95,3.53,-26.22
"02/11/2025 03:00","N.Y.C.",61761,100.89,3.79,-44.88
"02/11/2025 03:00","NORTH",61755,52.67,0.46,0.00
"02/11/2025 03:00","NPX",61845,132.38,3.14,-77.03
"02/11/2025 03:00","O H",61846,48.10,-4.61,-0.50
"02/11/2025 03:00","PJM",61847,55.40,-0.34,-3.52
