"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/04/2024 00:00","CAPITL",61757,84.70,4.15,0.00
"12/04/2024 00:00","CENTRL",61754,79.70,-0.85,0.00
"12/04/2024 00:00","DUNWOD",61760,85.91,5.36,0.00
"12/04/2024 00:00","GENESE",61753,72.19,-3.66,4.70
"12/04/2024 00:00","H Q",61844,79.93,-0.62,0.00
"12/04/2024 00:00","HUD VL",61758,85.86,5.31,0.00
"12/04/2024 00:00","LONGIL",61762,87.83,7.28,0.00
"12/04/2024 00:00","MHK VL",61756,83.56,3.00,0.00
"12/04/2024 00:00","MILLWD",61759,85.84,5.29,0.00
"12/04/2024 00:00","N.Y.C.",61761,85.82,5.27,0.00
"12/04/2024 00:00","NORTH",61755,81.04,0.49,0.00
"12/04/2024 00:00","NPX",61845,85.08,4.52,0.00
"12/04/2024 00:00","O H",61846,64.11,-6.01,10.44
"12/04/2024 00:00","PJM",61847,55.30,0.34,25.60
"12/04/2024 00:00","WEST",61752,66.58,-3.70,10.27
"12/04/2024 01:00","CAPITL",61757,83.95,4.37,0.00
"12/04/2024 01:00","CENTRL",61754,78.75,-0.83,0.00
"12/04/2024 01:00","DUNWOD",61760,84.84,5.25,0.00
"12/04/2024 01:00","GENESE",61753,73.86,-3.93,1.80
"12/04/2024 01:00","H Q",61844,78.78,-0.81,0.00
"12/04/2024 01:00","HUD VL",61758,84.87,5.28,0.00
"12/04/2024 01:00","LONGIL",61762,86.55,6.97,0.00
"12/04/2024 01:00","MHK VL",61756,82.22,2.64,0.00
"12/04/2024 01:00","MILLWD",61759,84.80,5.21,0.00
"12/04/2024 01:00","N.Y.C.",61761,84.67,5.08,0.00
"12/04/2024 01:00","NORTH",61755,79.74,0.15,0.00
"12/04/2024 01:00","NPX",61845,84.27,4.69,0.00
"12/04/2024 01:00","O H",61846,69.30,-6.30,3.99
"12/04/2024 01:00","PJM",61847,75.48,0.34,4.44
"12/04/2024 01:00","WEST",61752,71.69,-3.97,3.92
"12/04/2024 02:00","CAPITL",61757,83.31,4.32,0.00
"12/04/2024 02:00","CENTRL",61754,77.89,-1.10,0.00
"12/04/2024 02:00","DUNWOD",61760,84.15,5.17,0.00
"12/04/2024 02:00","GENESE",61753,72.09,-4.37,2.52
"12/04/2024 02:00","H Q",61844,78.18,-0.81,0.00
"12/04/2024 02:00","HUD VL",61758,84.20,5.21,0.00
"12/04/2024 02:00","LONGIL",61762,85.86,6.87,0.00
"12/04/2024 02:00","MHK VL",61756,81.54,2.55,0.00
"12/04/2024 02:00","MILLWD",61759,84.13,5.14,0.00
"12/04/2024 02:00","N.Y.C.",61761,83.96,4.97,0.00
"12/04/2024 02:00","NORTH",61755,79.03,0.05,0.00
"12/04/2024 02:00","NPX",61845,83.61,4.62,0.00
"12/04/2024 02:00","O H",61846,66.43,-6.95,5.60
"12/04/2024 02:00","PJM",61847,72.82,0.08,6.24
"12/04/2024 02:00","WEST",61752,68.71,-4.77,5.50
"12/04/2024 03:00","CAPITL",61757,72.79,3.62,-5.56
"12/04/2024 03:00","CENTRL",61754,62.91,-1.07,-0.36
"12/04/2024 03:00","DUNWOD",61760,72.05,4.29,-4.15
"12/04/2024 03:00","GENESE",61753,57.72,-3.66,2.24
"12/04/2024 03:00","H Q",61844,62.97,-0.64,0.00
"12/04/2024 03:00","HUD VL",61758,72.06,4.34,-4.10
