"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/23/2024 00:00","CAPITL",61757,186.54,10.45,0.00
"12/23/2024 00:00","CENTRL",61754,173.72,-2.37,0.00
"12/23/2024 00:00","DUNWOD",61760,189.32,13.23,0.00
"12/23/2024 00:00","GENESE",61753,165.18,-10.91,0.00
"12/23/2024 00:00","H Q",61844,174.68,-1.41,0.00
"12/23/2024 00:00","HUD VL",61758,189.08,13.00,0.00
"12/23/2024 00:00","LONGIL",61762,192.07,15.98,0.00
"12/23/2024 00:00","MHK VL",61756,185.02,8.93,0.00
"12/23/2024 00:00","MILLWD",61759,189.28,13.19,0.00
"12/23/2024 00:00","N.Y.C.",61761,191.00,13.95,-0.96
"12/23/2024 00:00","NORTH",61755,176.74,0.65,0.00
"12/23/2024 00:00","NPX",61845,185.74,9.62,-0.03
"12/23/2024 00:00","O H",61846,157.43,-18.66,0.00
"12/23/2024 00:00","PJM",61847,52.69,-0.93,122.47
"12/23/2024 00:00","WEST",61752,161.64,-14.45,0.00
"12/23/2024 01:00","CAPITL",61757,130.32,7.38,0.00
"12/23/2024 01:00","CENTRL",61754,120.89,-2.04,0.00
"12/23/2024 01:00","DUNWOD",61760,132.86,9.93,0.00
"12/23/2024 01:00","GENESE",61753,114.62,-8.30,0.00
"12/23/2024 01:00","H Q",61844,121.48,-1.09,0.36
"12/23/2024 01:00","HUD VL",61758,132.49,9.56,0.00
"12/23/2024 01:00","LONGIL",61762,159.44,12.72,-23.79
"12/23/2024 01:00","MHK VL",61756,129.15,6.23,0.00
"12/23/2024 01:00","MILLWD",61759,132.75,9.82,0.00
"12/23/2024 01:00","N.Y.C.",61761,133.44,10.51,0.00
"12/23/2024 01:00","NORTH",61755,123.25,0.32,0.00
"12/23/2024 01:00","NPX",61845,129.51,6.94,0.36
"12/23/2024 01:00","O H",61846,108.86,-14.07,0.00
"12/23/2024 01:00","PJM",61847,50.06,-0.68,72.19
"12/23/2024 01:00","WEST",61752,111.72,-11.21,0.00
"12/23/2024 02:00","CAPITL",61757,133.79,7.60,0.00
"12/23/2024 02:00","CENTRL",61754,124.08,-2.11,0.00
"12/23/2024 02:00","DUNWOD",61760,136.59,10.41,0.00
"12/23/2024 02:00","GENESE",61753,117.81,-8.38,0.00
"12/23/2024 02:00","H Q",61844,124.91,-1.27,0.00
"12/23/2024 02:00","HUD VL",61758,136.18,9.99,0.00
"12/23/2024 02:00","LONGIL",61762,149.64,13.61,-9.84
"12/23/2024 02:00","MHK VL",61756,132.57,6.38,0.00
"12/23/2024 02:00","MILLWD",61759,136.50,10.32,0.00
"12/23/2024 02:00","N.Y.C.",61761,137.29,11.11,0.00
"12/23/2024 02:00","NORTH",61755,126.24,0.05,0.00
"12/23/2024 02:00","NPX",61845,133.38,7.20,0.00
"12/23/2024 02:00","O H",61846,112.10,-14.08,0.00
"12/23/2024 02:00","PJM",61847,41.62,-0.42,84.14
"12/23/2024 02:00","WEST",61752,114.96,-11.22,0.00
"12/23/2024 03:00","CAPITL",61757,112.43,6.39,0.00
"12/23/2024 03:00","CENTRL",61754,104.02,-2.02,0.00
"12/23/2024 03:00","DUNWOD",61760,114.77,8.74,0.00
"12/23/2024 03:00","GENESE",61753,99.02,-7.02,0.00
"12/23/2024 03:00","H Q",61844,105.06,-0.97,0.00
"12/23/2024 03:00","HUD VL",61758,114.41,8.37,0.00
"12/23/2024 03:00","LONGIL",61762,157.74,11.70,-40.00
"12/23/2024 03:00","MHK VL",61756,111.10,5.07,0.00
"12/23/2024 03:00","MILLWD",61759,114.70,8.66,0.00
"12/23/2024 03:00","N.Y.C.",61761,115.33,9.29,0.00
"12/23/2024 03:00","NORTH",61755,106.21,0.18,0.00
"12/23/2024 03:00","NPX",61845,112.16,6.13,0.00
"12/23/2024 03:00","O H",61846,94.21,-11.82,0.00
"12/23/2024 03:00","PJM",61847,27.07,-0.63,78.33
"12/23/2024 03:00","WEST",61752,96.45,-9.59,0.00
"12/23/2024 04:00","CAPITL",61757,111.01,6.31,0.00
"12/23/2024 04:00","CENTRL",61754,103.08,-1.62,0.00
"12/23/2024 04:00","DUNWOD",61760,113.23,8.53,0.00
"12/23/2024 04:00","GENESE",61753,98.26,-6.44,0.00
