"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/20/2024 00:00","CAPITL",61757,49.40,1.87,0.00
"12/20/2024 00:00","CENTRL",61754,46.78,-0.75,0.00
"12/20/2024 00:00","DUNWOD",61760,49.55,2.02,0.00
"12/20/2024 00:00","GENESE",61753,45.65,-1.89,0.00
"12/20/2024 00:00","H Q",61844,47.95,0.41,0.00
"12/20/2024 00:00","HUD VL",61758,49.53,1.99,0.00
"12/20/2024 00:00","LONGIL",61762,50.39,2.86,0.00
"12/20/2024 00:00","MHK VL",61756,49.34,1.81,0.00
"12/20/2024 00:00","MILLWD",61759,49.48,1.94,0.00
"12/20/2024 00:00","N.Y.C.",61761,49.62,2.08,0.00
"12/20/2024 00:00","NORTH",61755,48.71,1.17,0.00
"12/20/2024 00:00","NPX",61845,51.01,1.75,-1.73
"12/20/2024 00:00","O H",61846,44.12,-3.42,0.00
"12/20/2024 00:00","PJM",61847,46.78,-0.76,0.00
"12/20/2024 00:00","WEST",61752,45.33,-2.21,0.00
"12/20/2024 01:00","CAPITL",61757,46.58,1.72,0.00
"12/20/2024 01:00","CENTRL",61754,44.05,-0.82,0.00
"12/20/2024 01:00","DUNWOD",61760,46.50,1.63,0.00
"12/20/2024 01:00","GENESE",61753,42.83,-2.03,0.00
"12/20/2024 01:00","H Q",61844,45.36,0.49,0.00
"12/20/2024 01:00","HUD VL",61758,46.52,1.65,0.00
"12/20/2024 01:00","LONGIL",61762,47.15,2.29,0.00
"12/20/2024 01:00","MHK VL",61756,46.99,2.12,0.00
"12/20/2024 01:00","MILLWD",61759,46.45,1.58,0.00
"12/20/2024 01:00","N.Y.C.",61761,46.53,1.66,0.00
"12/20/2024 01:00","NORTH",61755,46.29,1.42,0.00
"12/20/2024 01:00","NPX",61845,46.40,1.53,0.00
"12/20/2024 01:00","O H",61846,41.34,-3.53,0.00
"12/20/2024 01:00","PJM",61847,43.90,-0.97,0.00
"12/20/2024 01:00","WEST",61752,42.42,-2.45,0.00
"12/20/2024 02:00","CAPITL",61757,48.87,1.75,0.00
"12/20/2024 02:00","CENTRL",61754,46.21,-0.92,0.00
"12/20/2024 02:00","DUNWOD",61760,48.58,1.46,0.00
"12/20/2024 02:00","GENESE",61753,45.06,-2.06,0.00
"12/20/2024 02:00","H Q",61844,47.69,0.57,0.00
"12/20/2024 02:00","HUD VL",61758,48.64,1.52,0.00
"12/20/2024 02:00","LONGIL",61762,49.22,2.11,0.00
"12/20/2024 02:00","MHK VL",61756,49.28,2.16,0.00
"12/20/2024 02:00","MILLWD",61759,48.52,1.41,0.00
"12/20/2024 02:00","N.Y.C.",61761,48.59,1.47,0.00
"12/20/2024 02:00","NORTH",61755,48.70,1.58,0.00
"12/20/2024 02:00","NPX",61845,48.58,1.46,0.00
"12/20/2024 02:00","O H",61846,43.61,-3.51,0.00
"12/20/2024 02:00","PJM",61847,46.02,-1.10,0.00
"12/20/2024 02:00","WEST",61752,44.69,-2.43,0.00
"12/20/2024 03:00","CAPITL",61757,48.49,1.77,0.00
"12/20/2024 03:00","CENTRL",61754,45.81,-0.92,0.00
"12/20/2024 03:00","DUNWOD",61760,48.23,1.50,0.00
"12/20/2024 03:00","GENESE",61753,44.66,-2.07,0.00
"12/20/2024 03:00","H Q",61844,47.27,0.54,0.00
"12/20/2024 03:00","HUD VL",61758,48.29,1.56,0.00
"12/20/2024 03:00","LONGIL",61762,48.82,2.09,0.00
"12/20/2024 03:00","MHK VL",61756,48.41,1.68,0.00
"12/20/2024 03:00","MILLWD",61759,48.18,1.46,0.00
"12/20/2024 03:00","N.Y.C.",61761,48.24,1.51,0.00
"12/20/2024 03:00","NORTH",61755,48.03,1.30,0.00
"12/20/2024 03:00","NPX",61845,48.24,1.51,0.00
"12/20/2024 03:00","O H",61846,43.19,-3.54,0.00
"12/20/2024 03:00","PJM",61847,45.69,-1.04,0.00
"12/20/2024 03:00","WEST",61752,44.27,-2.46,0.00
"12/20/2024 04:00","CAPITL",61757,43.86,1.60,0.00
"12/20/2024 04:00","CENTRL",61754,41.55,-0.72,0.00
"12/20/2024 04:00","DUNWOD",61760,43.73,1.47,0.00
"12/20/2024 04:00","GENESE",61753,40.57,-1.70,0.00
"12/20/2024 04:00","H Q",61844,42.77,0.50,0.00
"12/20/2024 04:00","HUD VL",61758,43.79,1.52,0.00
"12/20/2024 04:00","LONGIL",61762,44.20,1.93,0.00
"12/20/2024 04:00","MHK VL",61756,43.72,1.46,0.00
"12/20/2024 04:00","MILLWD",61759,43.69,1.43,0.00
"12/20/2024 04:00","N.Y.C.",61761,43.74,1.48,0.00
"12/20/2024 04:00","NORTH",61755,43.43,1.17,0.00
"12/20/2024 04:00","NPX",61845,48.04,1.41,-4.37
"12/20/2024 04:00","O H",61846,39.27,-2.99,0.00
"12/20/2024 04:00","PJM",61847,41.52,-0.74,0.00
"12/20/2024 04:00","WEST",61752,40.24,-2.02,0.00
"12/20/2024 05:00","CAPITL",61757,45.31,1.77,0.00
"12/20/2024 05:00","CENTRL",61754,42.84,-0.71,0.00
"12/20/2024 05:00","DUNWOD",61760,45.23,1.68,0.00
"12/20/2024 05:00","GENESE",61753,41.72,-1.83,0.00
"12/20/2024 05:00","H Q",61844,43.97,0.42,0.00
"12/20/2024 05:00","HUD VL",61758,45.28,1.74,0.00
"12/20/2024 05:00","LONGIL",61762,45.86,2.31,0.00
"12/20/2024 05:00","MHK VL",61756,45.08,1.54,0.00
"12/20/2024 05:00","MILLWD",61759,45.19,1.64,0.00
"12/20/2024 05:00","N.Y.C.",61761,45.25,1.70,0.00
