"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"09/26/2024 00:00","CAPITL",61757,24.67,0.93,0.00
"09/26/2024 00:00","CENTRL",61754,23.92,0.17,0.00
"09/26/2024 00:00","DUNWOD",61760,24.86,1.11,0.00
"09/26/2024 00:00","GENESE",61753,23.84,0.10,0.00
"09/26/2024 00:00","H Q",61844,23.53,-0.22,0.00
"09/26/2024 00:00","HUD VL",61758,24.67,0.93,0.00
"09/26/2024 00:00","LONGIL",61762,25.04,1.29,0.00
"09/26/2024 00:00","MHK VL",61756,24.94,0.35,-0.84
"09/26/2024 00:00","MILLWD",61759,24.77,1.02,0.00
"09/26/2024 00:00","N.Y.C.",61761,25.00,1.25,0.00
"09/26/2024 00:00","NORTH",61755,17.09,-0.59,6.08
"09/26/2024 00:00","NPX",61845,24.94,0.80,-0.40
"09/26/2024 00:00","O H",61846,23.47,-0.28,0.00
"09/26/2024 00:00","PJM",61847,23.47,0.32,0.60
"09/26/2024 00:00","WEST",61752,23.94,0.19,0.00
"09/26/2024 01:00","CAPITL",61757,27.81,1.00,0.00
"09/26/2024 01:00","CENTRL",61754,27.10,0.28,0.00
"09/26/2024 01:00","DUNWOD",61760,27.99,1.18,0.00
"09/26/2024 01:00","GENESE",61753,27.27,0.45,0.00
"09/26/2024 01:00","H Q",61844,26.61,-0.21,0.00
"09/26/2024 01:00","HUD VL",61758,27.78,0.96,0.00
"09/26/2024 01:00","LONGIL",61762,28.15,1.34,0.00
"09/26/2024 01:00","MHK VL",61756,28.03,0.31,-0.90
"09/26/2024 01:00","MILLWD",61759,27.88,1.06,0.00
"09/26/2024 01:00","N.Y.C.",61761,28.12,1.31,0.00
"09/26/2024 01:00","NORTH",61755,19.88,-0.56,6.38
"09/26/2024 01:00","NPX",61845,27.63,0.81,0.00
"09/26/2024 01:00","O H",61846,27.04,0.23,0.00
"09/26/2024 01:00","PJM",61847,29.25,0.55,-1.89
"09/26/2024 01:00","WEST",61752,27.57,0.76,0.00
"09/26/2024 02:00","CAPITL",61757,24.75,0.87,0.00
"09/26/2024 02:00","CENTRL",61754,24.07,0.18,0.00
"09/26/2024 02:00","DUNWOD",61760,24.86,0.98,0.00
"09/26/2024 02:00","GENESE",61753,24.13,0.24,0.00
"09/26/2024 02:00","H Q",61844,23.70,-0.18,0.00
"09/26/2024 02:00","HUD VL",61758,24.67,0.79,0.00
"09/26/2024 02:00","LONGIL",61762,24.95,1.06,0.00
"09/26/2024 02:00","MHK VL",61756,25.10,0.35,-0.87
"09/26/2024 02:00","MILLWD",61759,24.78,0.90,0.00
"09/26/2024 02:00","N.Y.C.",61761,25.00,1.11,0.00
"09/26/2024 02:00","NORTH",61755,17.51,-0.48,5.89
"09/26/2024 02:00","NPX",61845,24.59,0.70,0.00
"09/26/2024 02:00","O H",61846,23.88,-0.01,0.00
"09/26/2024 02:00","PJM",61847,24.19,0.31,0.00
"09/26/2024 02:00","WEST",61752,24.30,0.42,0.00
"09/26/2024 03:00","CAPITL",61757,25.02,0.80,0.00
"09/26/2024 03:00","CENTRL",61754,24.51,0.30,0.00
"09/26/2024 03:00","DUNWOD",61760,25.19,0.97,0.00
"09/26/2024 03:00","GENESE",61753,24.61,0.40,0.00
"09/26/2024 03:00","H Q",61844,24.03,-0.18,0.00
"09/26/2024 03:00","HUD VL",61758,25.00,0.78,0.00
"09/26/2024 03:00","LONGIL",61762,25.26,1.04,0.00
"09/26/2024 03:00","MHK VL",61756,25.48,0.37,-0.89
"09/26/2024 03:00","MILLWD",61759,25.10,0.88,0.00
"09/26/2024 03:00","N.Y.C.",61761,25.32,1.10,0.00
"09/26/2024 03:00","NORTH",61755,17.81,-0.49,5.91
"09/26/2024 03:00","NPX",61845,24.84,0.62,0.00
"09/26/2024 03:00","O H",61846,24.42,0.20,0.00
"09/26/2024 03:00","PJM",61847,24.65,0.43,0.00
"09/26/2024 03:00","WEST",61752,24.89,0.67,0.00
"09/26/2024 04:00","CAPITL",61757,24.83,0.84,0.00
"09/26/2024 04:00","CENTRL",61754,24.27,0.28,0.00
"09/26/2024 04:00","DUNWOD",61760,24.91,0.93,0.00
"09/26/2024 04:00","GENESE",61753,24.34,0.35,0.00
"09/26/2024 04:00","H Q",61844,23.80,-0.19,0.00
"09/26/2024 04:00","HUD VL",61758,24.73,0.74,0.00
"09/26/2024 04:00","LONGIL",61762,24.94,0.95,0.00
"09/26/2024 04:00","MHK VL",61756,25.29,0.44,-0.87
"09/26/2024 04:00","MILLWD",61759,24.83,0.84,0.00
"09/26/2024 04:00","N.Y.C.",61761,25.03,1.05,0.00
"09/26/2024 04:00","NORTH",61755,17.69,-0.49,5.80
"09/26/2024 04:00","NPX",61845,24.64,0.65,0.00
"09/26/2024 04:00","O H",61846,24.11,0.12,0.00
"09/26/2024 04:00","PJM",61847,24.32,0.33,0.00
"09/26/2024 04:00","WEST",61752,24.57,0.58,0.00
"09/26/2024 05:00","CAPITL",61757,33.64,1.04,0.00
"09/26/2024 05:00","CENTRL",61754,33.20,0.61,0.00
"09/26/2024 05:00","DUNWOD",61760,33.87,1.28,0.00
"09/26/2024 05:00","GENESE",61753,33.44,0.84,0.00
"09/26/2024 05:00","H Q",61844,32.35,-0.24,0.00
"09/26/2024 05:00","HUD VL",61758,33.61,1.02,0.00
"09/26/2024 05:00","LONGIL",61762,33.83,1.24,0.00
"09/26/2024 05:00","MHK VL",61756,34.51,0.91,-1.00
"09/26/2024 05:00","MILLWD",61759,33.73,1.14,0.00
"09/26/2024 05:00","N.Y.C.",61761,34.04,1.45,0.00
"09/26/2024 05:00","NORTH",61755,24.91,-0.61,7.07
"09/26/2024 05:00","NPX",61845,33.27,0.68,0.00
"09/26/2024 05:00","O H",61846,33.19,0.60,0.00
"09/26/2024 05:00","PJM",61847,34.50,0.71,-1.20
"09/26/2024 05:00","WEST",61752,33.88,1.29,0.00
