"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"09/05/2024 00:00","CAPITL",61757,23.16,0.75,0.00
"09/05/2024 00:00","CENTRL",61754,21.95,-0.36,0.10
"09/05/2024 00:00","DUNWOD",61760,23.14,0.73,0.00
"09/05/2024 00:00","GENESE",61753,21.12,-0.96,0.33
"09/05/2024 00:00","H Q",61844,22.55,0.13,0.00
"09/05/2024 00:00","HUD VL",61758,22.99,0.58,0.00
"09/05/2024 00:00","LONGIL",61762,23.36,0.95,0.00
"09/05/2024 00:00","MHK VL",61756,22.85,0.29,-0.14
"09/05/2024 00:00","MILLWD",61759,23.07,0.65,0.00
"09/05/2024 00:00","N.Y.C.",61761,23.42,0.81,-0.19
"09/05/2024 00:00","NORTH",61755,22.89,0.48,0.00
"09/05/2024 00:00","NPX",61845,23.25,0.51,-0.33
"09/05/2024 00:00","O H",61846,20.07,-1.90,0.44
"09/05/2024 00:00","PJM",61847,21.54,-0.61,0.26
"09/05/2024 00:00","WEST",61752,20.28,-1.63,0.50
"09/05/2024 01:00","CAPITL",61757,17.63,0.59,0.00
"09/05/2024 01:00","CENTRL",61754,16.77,-0.27,0.00
"09/05/2024 01:00","DUNWOD",61760,17.56,0.53,0.00
"09/05/2024 01:00","GENESE",61753,16.29,-0.74,0.00
"09/05/2024 01:00","H Q",61844,17.11,0.08,0.00
"09/05/2024 01:00","HUD VL",61758,17.46,0.42,0.00
"09/05/2024 01:00","LONGIL",61762,17.71,0.67,0.00
"09/05/2024 01:00","MHK VL",61756,17.23,0.19,0.00
"09/05/2024 01:00","MILLWD",61759,17.51,0.47,0.00
"09/05/2024 01:00","N.Y.C.",61761,17.61,0.58,0.00
"09/05/2024 01:00","NORTH",61755,17.31,0.28,0.00
"09/05/2024 01:00","NPX",61845,24.03,0.40,-6.60
"09/05/2024 01:00","O H",61846,15.60,-1.44,0.00
"09/05/2024 01:00","PJM",61847,16.59,-0.45,0.00
"09/05/2024 01:00","WEST",61752,15.80,-1.24,0.00
"09/05/2024 02:00","CAPITL",61757,22.22,0.82,0.00
"09/05/2024 02:00","CENTRL",61754,20.63,-0.38,0.39
"09/05/2024 02:00","DUNWOD",61760,22.05,0.64,0.00
"09/05/2024 02:00","GENESE",61753,19.10,-1.05,1.26
"09/05/2024 02:00","H Q",61844,21.47,0.07,0.00
"09/05/2024 02:00","HUD VL",61758,21.94,0.54,0.00
"09/05/2024 02:00","LONGIL",61762,22.21,0.81,0.00
"09/05/2024 02:00","MHK VL",61756,22.25,0.27,-0.58
"09/05/2024 02:00","MILLWD",61759,21.99,0.59,0.00
"09/05/2024 02:00","N.Y.C.",61761,22.11,0.71,0.00
"09/05/2024 02:00","NORTH",61755,21.67,0.27,0.00
"09/05/2024 02:00","NPX",61845,24.67,0.61,-2.66
"09/05/2024 02:00","O H",61846,17.80,-1.96,1.65
"09/05/2024 02:00","PJM",61847,12.82,-0.61,7.97
"09/05/2024 02:00","WEST",61752,17.78,-1.71,1.91
"09/05/2024 03:00","CAPITL",61757,18.68,0.73,0.00
"09/05/2024 03:00","CENTRL",61754,17.35,-0.34,0.26
"09/05/2024 03:00","DUNWOD",61760,18.57,0.62,0.00
"09/05/2024 03:00","GENESE",61753,16.15,-0.97,0.83
"09/05/2024 03:00","H Q",61844,17.97,0.01,0.00
"09/05/2024 03:00","HUD VL",61758,18.47,0.52,0.00
"09/05/2024 03:00","LONGIL",61762,18.74,0.79,0.00
"09/05/2024 03:00","MHK VL",61756,18.56,0.23,-0.38
"09/05/2024 03:00","MILLWD",61759,18.53,0.58,0.00
"09/05/2024 03:00","N.Y.C.",61761,18.63,0.67,0.00
"09/05/2024 03:00","NORTH",61755,18.13,0.18,0.00
"09/05/2024 03:00","NPX",61845,21.33,0.57,-2.81
"09/05/2024 03:00","O H",61846,15.10,-1.76,1.10
"09/05/2024 03:00","PJM",61847,10.90,-0.48,6.57
"09/05/2024 03:00","WEST",61752,15.13,-1.56,1.26
"09/05/2024 04:00","CAPITL",61757,18.65,0.74,0.00
"09/05/2024 04:00","CENTRL",61754,17.25,-0.32,0.33
"09/05/2024 04:00","DUNWOD",61760,18.51,0.60,0.00
"09/05/2024 04:00","GENESE",61753,15.92,-0.94,1.05
"09/05/2024 04:00","H Q",61844,17.91,0.01,0.00
"09/05/2024 04:00","HUD VL",61758,18.41,0.51,0.00
"09/05/2024 04:00","LONGIL",61762,18.68,0.78,0.00
"09/05/2024 04:00","MHK VL",61756,18.62,0.24,-0.48
"09/05/2024 04:00","MILLWD",61759,18.47,0.57,0.00
"09/05/2024 04:00","N.Y.C.",61761,18.57,0.66,0.00
"09/05/2024 04:00","NORTH",61755,18.06,0.15,0.00
"09/05/2024 04:00","NPX",61845,21.52,0.57,-3.05
"09/05/2024 04:00","O H",61846,14.81,-1.72,1.38
"09/05/2024 04:00","PJM",61847,14.31,-0.48,3.11
"09/05/2024 04:00","WEST",61752,14.79,-1.53,1.59
