"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"10/13/2024 00:00","CAPITL",61757,26.72,0.87,0.00
"10/13/2024 00:00","CENTRL",61754,26.30,0.18,-0.28
"10/13/2024 00:00","DUNWOD",61760,26.94,1.09,0.00
"10/13/2024 00:00","GENESE",61753,25.84,0.59,0.60
"10/13/2024 00:00","H Q",61844,25.81,-0.04,0.00
"10/13/2024 00:00","HUD VL",61758,26.70,0.85,0.00
"10/13/2024 00:00","LONGIL",61762,27.12,1.27,0.00
"10/13/2024 00:00","MHK VL",61756,26.56,0.71,0.00
"10/13/2024 00:00","MILLWD",61759,26.83,0.99,0.00
"10/13/2024 00:00","N.Y.C.",61761,27.13,1.28,0.00
"10/13/2024 00:00","NORTH",61755,26.02,0.17,0.00
"10/13/2024 00:00","NPX",61845,25.99,0.51,0.38
"10/13/2024 00:00","O H",61846,24.54,0.01,1.31
"10/13/2024 00:00","PJM",61847,24.73,0.32,1.43
"10/13/2024 00:00","WEST",61752,24.96,0.39,1.28
"10/13/2024 01:00","CAPITL",61757,27.33,0.91,0.00
"10/13/2024 01:00","CENTRL",61754,26.82,0.17,-0.23
"10/13/2024 01:00","DUNWOD",61760,27.47,1.06,0.00
"10/13/2024 01:00","GENESE",61753,26.49,0.54,0.47
"10/13/2024 01:00","H Q",61844,26.39,-0.03,0.00
"10/13/2024 01:00","HUD VL",61758,27.25,0.84,0.00
"10/13/2024 01:00","LONGIL",61762,27.68,1.27,0.00
"10/13/2024 01:00","MHK VL",61756,27.18,0.77,0.00
"10/13/2024 01:00","MILLWD",61759,27.37,0.96,0.00
"10/13/2024 01:00","N.Y.C.",61761,27.68,1.27,0.00
"10/13/2024 01:00","NORTH",61755,26.61,0.20,0.00
"10/13/2024 01:00","NPX",61845,26.94,0.53,0.00
"10/13/2024 01:00","O H",61846,25.32,-0.07,1.03
"10/13/2024 01:00","PJM",61847,25.59,0.29,1.12
"10/13/2024 01:00","WEST",61752,25.70,0.28,1.00
"10/13/2024 02:00","CAPITL",61757,26.14,0.89,0.00
"10/13/2024 02:00","CENTRL",61754,25.34,0.08,-0.01
"10/13/2024 02:00","DUNWOD",61760,26.28,1.03,0.00
"10/13/2024 02:00","GENESE",61753,25.60,0.36,0.01
"10/13/2024 02:00","H Q",61844,25.23,-0.03,0.00
"10/13/2024 02:00","HUD VL",61758,26.09,0.83,0.00
"10/13/2024 02:00","LONGIL",61762,26.48,1.22,0.00
"10/13/2024 02:00","MHK VL",61756,25.98,0.73,0.00
"10/13/2024 02:00","MILLWD",61759,26.20,0.95,0.00
"10/13/2024 02:00","N.Y.C.",61761,26.49,1.23,0.00
"10/13/2024 02:00","NORTH",61755,25.45,0.20,0.00
"10/13/2024 02:00","NPX",61845,25.80,0.55,0.00
"10/13/2024 02:00","O H",61846,24.94,-0.28,0.03
"10/13/2024 02:00","PJM",61847,25.42,0.20,0.03
"10/13/2024 02:00","WEST",61752,25.28,0.06,0.03
"10/13/2024 03:00","CAPITL",61757,24.35,0.84,0.00
"10/13/2024 03:00","CENTRL",61754,23.53,0.02,0.00
"10/13/2024 03:00","DUNWOD",61760,24.48,0.98,0.00
"10/13/2024 03:00","GENESE",61753,23.80,0.30,0.00
"10/13/2024 03:00","H Q",61844,23.47,-0.03,0.00
"10/13/2024 03:00","HUD VL",61758,24.30,0.79,0.00
"10/13/2024 03:00","LONGIL",61762,24.66,1.15,0.00
"10/13/2024 03:00","MHK VL",61756,24.17,0.67,0.00
"10/13/2024 03:00","MILLWD",61759,24.40,0.89,0.00
"10/13/2024 03:00","N.Y.C.",61761,24.67,1.17,0.00
"10/13/2024 03:00","NORTH",61755,23.68,0.17,0.00
