"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/02/2024 00:00","CAPITL",61757,15.66,0.68,0.00
"06/02/2024 00:00","CENTRL",61754,15.00,-0.06,-0.09
"06/02/2024 00:00","DUNWOD",61760,15.96,0.98,0.00
"06/02/2024 00:00","GENESE",61753,14.39,-0.42,0.17
"06/02/2024 00:00","H Q",61844,14.79,-0.19,0.00
"06/02/2024 00:00","HUD VL",61758,15.73,0.76,0.00
"06/02/2024 00:00","LONGIL",61762,16.20,1.22,0.00
"06/02/2024 00:00","MHK VL",61756,15.32,0.34,0.00
"06/02/2024 00:00","MILLWD",61759,15.82,0.84,0.00
"06/02/2024 00:00","N.Y.C.",61761,15.99,1.01,0.00
"06/02/2024 00:00","NORTH",61755,14.82,-0.16,0.00
"06/02/2024 00:00","NPX",61845,15.59,0.61,0.00
"06/02/2024 00:00","O H",61846,-1.57,-0.77,15.78
"06/02/2024 00:00","PJM",61847,14.67,0.13,0.45
"06/02/2024 00:00","WEST",61752,14.08,-0.51,0.39
"06/02/2024 01:00","CAPITL",61757,15.60,0.70,0.00
"06/02/2024 01:00","CENTRL",61754,14.93,-0.11,-0.14
"06/02/2024 01:00","DUNWOD",61760,15.78,0.87,0.00
"06/02/2024 01:00","GENESE",61753,14.29,-0.37,0.26
"06/02/2024 01:00","H Q",61844,14.76,-0.15,0.00
"06/02/2024 01:00","HUD VL",61758,15.57,0.66,0.00
"06/02/2024 01:00","LONGIL",61762,15.96,1.05,0.00
"06/02/2024 01:00","MHK VL",61756,15.25,0.34,0.00
"06/02/2024 01:00","MILLWD",61759,15.65,0.74,0.00
"06/02/2024 01:00","N.Y.C.",61761,15.80,0.90,0.00
"06/02/2024 01:00","NORTH",61755,14.92,0.01,0.00
"06/02/2024 01:00","NPX",61845,15.51,0.61,0.00
"06/02/2024 01:00","O H",61846,13.64,-0.64,0.63
"06/02/2024 01:00","PJM",61847,14.29,0.08,0.69
"06/02/2024 01:00","WEST",61752,13.87,-0.44,0.60
"06/02/2024 02:00","CAPITL",61757,14.36,0.66,0.00
"06/02/2024 02:00","CENTRL",61754,13.56,-0.14,0.00
"06/02/2024 02:00","DUNWOD",61760,14.48,0.78,0.00
"06/02/2024 02:00","GENESE",61753,13.25,-0.45,0.00
"06/02/2024 02:00","H Q",61844,13.57,-0.13,0.00
"06/02/2024 02:00","HUD VL",61758,14.30,0.60,0.00
"06/02/2024 02:00","LONGIL",61762,14.67,0.97,0.00
"06/02/2024 02:00","MHK VL",61756,13.99,0.29,0.00
"06/02/2024 02:00","MILLWD",61759,14.37,0.67,0.00
